0.02,0.0001,0,0.0001,0,0
0.02,0.0013,0.0001,0.0013,0.0572,2.7272
0.02,0.0043,0.0003,0.0043,0.1536,4.9432
0.02,0.0093,0.0006,0.0093,0.2519,4.9627
0.02,0.0162,0.0011,0.0163,0.3511,4.9934
0.02,0.0252,0.0017,0.0253,0.4508,4.9761
0.02,0.0362,0.0025,0.0363,0.5508,5.0125
0.02,0.0492,0.0034,0.0493,0.6506,4.9935
0.02,0.064,0.0045,0.0642,0.7503,5.0155
0.02,0.0811,0.0057,0.0813,0.8502,4.974
0.02,0.1,0.0071,0.1003,0.9503,5.0108
0.02,0.1209,0.0087,0.1212,1.0503,5.0014
0.02,0.1439,0.0105,0.1443,1.1502,4.996
0.02,0.1688,0.0125,0.1693,1.2502,5.0019
0.02,0.1957,0.0147,0.1963,1.3502,4.9983
0.02,0.2246,0.0171,0.2252,1.4502,5.004
0.02,0.2555,0.0198,0.2563,1.5501,4.9943
0.02,0.2884,0.0228,0.2893,1.6502,5.0011
0.02,0.3232,0.026,0.3243,1.7502,5.0006
0.02,0.36,0.0296,0.3613,1.8501,5.0008
0.02,0.3988,0.0335,0.4002,1.9501,5.0016
0.02,0.4396,0.0378,0.4412,2.05,4.9977
0.02,0.4824,0.0426,0.4843,2.15,4.9955
0.02,0.5271,0.0477,0.5293,2.2501,5.0035
0.02,0.5737,0.0534,0.5762,2.35,5.002
0.02,0.6223,0.0596,0.6252,2.45,4.9977
0.02,0.6729,0.0663,0.6762,2.55,4.999
0.02,0.7253,0.0738,0.7292,2.65,5.0009
0.02,0.7797,0.0819,0.7842,2.75,5.0001
0.02,0.836,0.0909,0.8412,2.85,4.9974
0.02,0.8942,0.1007,0.9002,2.95,5.0023
0.02,0.9542,0.1115,0.9612,3.05,4.9991
0.02,1.0161,0.1235,1.0242,3.1499,5.0005
0.02,1.0797,0.1366,1.0892,3.2499,4.9981
0.02,1.1451,0.1512,1.1562,3.3499,5.0022
0.02,1.2122,0.1673,1.2252,3.4499,4.9984
0.02,1.2809,0.1851,1.2962,3.5499,5.0007
0.02,1.3512,0.2049,1.3692,3.6499,4.9984
0.02,1.4228,0.2269,1.4441,3.7482,4.9165
0.02,1.4934,0.2506,1.5186,3.7238,-1.2197
0.02,1.5615,0.2755,1.5911,3.6238,-4.9986
0.02,1.6271,0.3015,1.6616,3.5268,-4.8511
0.02,1.6905,0.3289,1.7307,3.4519,-3.7451
0.02,1.7523,0.3577,1.7988,3.4092,-2.1365
0.02,1.8131,0.3883,1.867,3.4047,-0.2252
0.02,1.8738,0.421,1.9359,3.4487,2.1994
0.02,1.9351,0.4564,2.0067,3.5404,4.5867
0.02,1.9972,0.4945,2.0795,3.6404,5.0019
0.02,2.06,0.5351,2.1543,3.7404,4.9999
0.02,2.1237,0.5781,2.2311,3.8405,5.001
0.02,2.1884,0.623,2.3099,3.9405,5.0008
0.02,2.2545,0.6695,2.3908,4.0405,5.0004
0.02,2.3222,0.7172,2.4736,4.1405,5.0012
0.02,2.392,0.7654,2.5584,4.2405,5.0002
0.02,2.4641,0.8138,2.6452,4.3406,5.0008
0.02,2.5379,0.8613,2.733,4.3925,2.5965
0.02,2.6113,0.9063,2.8191,4.3019,-4.5294
0.02,2.6841,0.9487,2.9034,4.2144,-4.3712
0.02,2.7575,0.989,2.9871,4.1888,-1.2839
0.02,2.8324,1.0279,3.0715,4.2193,1.5296
0.02,2.9095,1.0657,3.1574,4.2915,3.6042
0.02,2.9892,1.1024,3.2451,4.3886,4.8582
0.02,3.0715,1.1382,3.3349,4.4886,5.0002
0.02,3.1565,1.173,3.4267,4.5886,4.999
0.02,3.2439,1.2067,3.5204,4.6886,5.002
0.02,3.3339,1.2395,3.6162,4.7886,4.9991
0.02,3.4264,1.2713,3.714,4.8886,4.9998
0.02,3.5213,1.302,3.8138,4.9886,5.001
0.02,3.6186,1.3319,3.9156,5.0886,5.0005
0.02,3.7182,1.3608,4.0193,5.1886,5
0.02,3.8202,1.3889,4.1251,5.2887,4.9994
0.02,3.9245,1.4161,4.2329,5.3887,5.0007
0.02,4.0292,1.4421,4.3408,5.3923,0.1814
0.02,4.1322,1.4664,4.4466,5.2923,-5.0007
0.02,4.2335,1.4892,4.5505,5.1923,-4.9976
0.02,4.3331,1.5107,4.6523,5.0923,-5.0023
0.02,4.4309,1.5309,4.7522,4.9923,-4.9985
0.02,4.5268,1.5499,4.8499,4.8923,-5.0036
0.02,4.621,1.5679,4.9458,4.7923,-4.9966
0.02,4.7132,1.5849,5.0397,4.6923,-5.0024
0.02,4.8037,1.601,5.1316,4.5922,-4.9986
0.02,4.8922,1.6162,5.2214,4.4922,-5.0032
0.02,4.9789,1.6306,5.3093,4.3922,-4.9972
0.02,5.0636,1.6443,5.3951,4.2922,-5.004
0.02,5.1464,1.6573,5.4789,4.1923,-4.9998
0.02,5.2273,1.6696,5.5607,4.0923,-4.9981
0.02,5.3064,1.6814,5.6406,3.9922,-4.9997
0.02,5.3834,1.6925,5.7185,3.8922,-5.0011
0.02,5.4585,1.7031,5.7943,3.7922,-5.0021
0.02,5.5317,1.7132,5.8682,3.6921,-4.9981
0.02,5.6029,1.7227,5.94,3.5921,-5.0028
0.02,5.6721,1.7318,6.0099,3.4921,-4.9975
0.02,5.7394,1.7405,6.0777,3.3921,-5.0018
0.02,5.8047,1.7487,6.1436,3.2921,-5.0008
0.02,5.8681,1.7566,6.2074,3.1921,-4.9992
0.02,5.9295,1.764,6.2692,3.0921,-5.0032
0.02,5.9888,1.7711,6.329,2.9922,-5.0011
0.02,6.0464,1.7778,6.387,2.8921,-4.9915
0.02,6.1018,1.7842,6.4428,2.792,-5.0083
0.02,6.1553,1.7902,6.4966,2.692,-4.9981
0.02,6.2068,1.796,6.5484,2.592,-5.0014
0.02,6.2564,1.8014,6.5983,2.492,-4.9968
0.02,6.3039,1.8066,6.6461,2.3921,-5.0083
0.02,6.3495,1.8114,6.6919,2.2922,-4.9946
0.02,6.3931,1.8161,6.7358,2.1921,-4.9969
0.02,6.4348,1.8204,6.7777,2.0919,-4.9995
0.02,6.4743,1.8245,6.8174,1.992,-5.0134
0.02,6.5121,1.8283,6.8554,1.892,-4.9845
0.02,6.5477,1.8319,6.8912,1.7919,-5.0088
0.02,6.5814,1.8353,6.925,1.6919,-5.0005
0.02,6.613,1.8384,6.9568,1.5921,-5.0035
0.02,6.6427,1.8413,6.9867,1.4921,-4.9923
0.02,6.6705,1.8441,7.0146,1.3918,-4.9933
0.02,6.6962,1.8465,7.0405,1.2916,-5.0118
0.02,6.72,1.8488,7.0643,1.1916,-4.9988
0.02,6.7417,1.8509,7.0861,1.0916,-5.0012
0.02,6.7614,1.8528,7.1059,0.9917,-5.0044
0.02,6.7792,1.8544,7.1238,0.8916,-4.9827
0.02,6.795,1.8559,7.1397,0.7912,-5.008
0.02,6.8087,1.8572,7.1535,0.6913,-5.0147
0.02,6.8205,1.8583,7.1653,0.5914,-4.985
0.02,6.8302,1.8592,7.1751,0.4917,-5.028
0.02,6.8382,1.86,7.1831,0.391,-4.927
0.02,6.844,1.8605,7.1889,0.2893,-5.0195
0.02,6.8478,1.8608,7.1927,0.1892,-5.0685
0.02,6.8497,1.861,7.1946,0.0699,-4.2636
